rep,seed,schedule_mode,overlap_fraction,overlap_mode,strict_score,overlap_score,delta,delta_percent,improved,source
0,1234,uniform,0.3,symmetric,0.9816,0.9821,0.0004999999999999449,0.04999999999999449,True,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
0,1234,uniform,0.3,random,0.9816,0.9794,-0.0021999999999999797,-0.21999999999999797,False,new_run
0,1234,saccade,0.3,symmetric,0.9815,0.9809,-0.0006000000000000449,-0.060000000000004494,False,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
0,1234,saccade,0.3,random,0.9815,0.9792,-0.0023000000000000798,-0.23000000000000798,False,new_run
0,1234,event_density,0.3,symmetric,0.9793,0.981,0.0017000000000000348,0.17000000000000348,True,new_run
0,1234,event_density,0.3,random,0.9793,0.9789,-0.00039999999999995595,-0.039999999999995595,False,new_run
0,1234,random_boundary,0.3,symmetric,0.9779,0.9789,0.0010000000000000009,0.10000000000000009,True,new_run
0,1234,random_boundary,0.3,random,0.9779,0.9776,-0.00029999999999996696,-0.029999999999996696,False,new_run
1,1235,uniform,0.3,symmetric,0.9801,0.981,0.0009000000000000119,0.09000000000000119,True,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
1,1235,uniform,0.3,random,0.9801,0.9789,-0.0011999999999999789,-0.11999999999999789,False,new_run
1,1235,saccade,0.3,symmetric,0.9802,0.9803,9.999999999998899e-05,0.009999999999998899,True,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
1,1235,saccade,0.3,random,0.9802,0.9787,-0.0014999999999999458,-0.14999999999999458,False,new_run
1,1235,event_density,0.3,symmetric,0.9788,0.9804,0.0016000000000000458,0.16000000000000458,True,new_run
1,1235,event_density,0.3,random,0.9788,0.9784,-0.00039999999999995595,-0.039999999999995595,False,new_run
1,1235,random_boundary,0.3,symmetric,0.9758,0.9775,0.0017000000000000348,0.17000000000000348,True,new_run
1,1235,random_boundary,0.3,random,0.9758,0.9746,-0.0011999999999999789,-0.11999999999999789,False,new_run
2,1236,uniform,0.3,symmetric,0.9801,0.9812,0.0010999999999999899,0.10999999999999899,True,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
2,1236,uniform,0.3,random,0.9801,0.9788,-0.0012999999999999678,-0.12999999999999678,False,new_run
2,1236,saccade,0.3,symmetric,0.9799,0.9805,0.0006000000000000449,0.060000000000004494,True,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
2,1236,saccade,0.3,random,0.9799,0.978,-0.0019000000000000128,-0.19000000000000128,False,new_run
2,1236,event_density,0.3,symmetric,0.9799,0.9794,-0.0004999999999999449,-0.04999999999999449,False,new_run
2,1236,event_density,0.3,random,0.9799,0.9776,-0.0022999999999999687,-0.22999999999999687,False,new_run
2,1236,random_boundary,0.3,symmetric,0.973,0.9728,-0.00019999999999997797,-0.019999999999997797,False,new_run
2,1236,random_boundary,0.3,random,0.973,0.9717,-0.0012999999999999678,-0.12999999999999678,False,new_run
3,1237,uniform,0.3,symmetric,0.9797,0.9798,9.999999999998899e-05,0.009999999999998899,True,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
3,1237,uniform,0.3,random,0.9797,0.9781,-0.0016000000000000458,-0.16000000000000458,False,new_run
3,1237,saccade,0.3,symmetric,0.9801,0.979,-0.0010999999999999899,-0.10999999999999899,False,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
3,1237,saccade,0.3,random,0.9801,0.9785,-0.0015999999999999348,-0.15999999999999348,False,new_run
3,1237,event_density,0.3,symmetric,0.9794,0.9786,-0.0008000000000000229,-0.08000000000000229,False,new_run
3,1237,event_density,0.3,random,0.9794,0.9786,-0.0008000000000000229,-0.08000000000000229,False,new_run
3,1237,random_boundary,0.3,symmetric,0.9792,0.9798,0.0006000000000000449,0.060000000000004494,True,new_run
3,1237,random_boundary,0.3,random,0.9792,0.9791,-9.999999999998899e-05,-0.009999999999998899,False,new_run
