rep,seed,in_conn,num_res,num_partitions,nz,overlap_fraction,overlap_combine,schedule_mode,overlap_mode,score,source
0,1234,0.15,3,3,12,0.0,mean,uniform,none,0.9816,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
0,1234,0.15,3,3,12,0.3,mean,uniform,symmetric,0.9821,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
0,1234,0.15,3,3,12,0.3,mean,uniform,random,0.9794,new_run
0,1234,0.15,3,3,12,0.0,mean,saccade,none,0.9815,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
0,1234,0.15,3,3,12,0.3,mean,saccade,symmetric,0.9809,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
0,1234,0.15,3,3,12,0.3,mean,saccade,random,0.9792,new_run
0,1234,0.15,3,3,12,0.0,mean,event_density,none,0.9793,new_run
0,1234,0.15,3,3,12,0.3,mean,event_density,symmetric,0.981,new_run
0,1234,0.15,3,3,12,0.3,mean,event_density,random,0.9789,new_run
0,1234,0.15,3,3,12,0.0,mean,random_boundary,none,0.9779,new_run
0,1234,0.15,3,3,12,0.3,mean,random_boundary,symmetric,0.9789,new_run
0,1234,0.15,3,3,12,0.3,mean,random_boundary,random,0.9776,new_run
1,1235,0.15,3,3,12,0.0,mean,uniform,none,0.9801,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
1,1235,0.15,3,3,12,0.3,mean,uniform,symmetric,0.981,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
1,1235,0.15,3,3,12,0.3,mean,uniform,random,0.9789,new_run
1,1235,0.15,3,3,12,0.0,mean,saccade,none,0.9802,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
1,1235,0.15,3,3,12,0.3,mean,saccade,symmetric,0.9803,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
1,1235,0.15,3,3,12,0.3,mean,saccade,random,0.9787,new_run
1,1235,0.15,3,3,12,0.0,mean,event_density,none,0.9788,new_run
1,1235,0.15,3,3,12,0.3,mean,event_density,symmetric,0.9804,new_run
1,1235,0.15,3,3,12,0.3,mean,event_density,random,0.9784,new_run
1,1235,0.15,3,3,12,0.0,mean,random_boundary,none,0.9758,new_run
1,1235,0.15,3,3,12,0.3,mean,random_boundary,symmetric,0.9775,new_run
1,1235,0.15,3,3,12,0.3,mean,random_boundary,random,0.9746,new_run
2,1236,0.15,3,3,12,0.0,mean,uniform,none,0.9801,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
2,1236,0.15,3,3,12,0.3,mean,uniform,symmetric,0.9812,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
2,1236,0.15,3,3,12,0.3,mean,uniform,random,0.9788,new_run
2,1236,0.15,3,3,12,0.0,mean,saccade,none,0.9799,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
2,1236,0.15,3,3,12,0.3,mean,saccade,symmetric,0.9805,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
2,1236,0.15,3,3,12,0.3,mean,saccade,random,0.978,new_run
2,1236,0.15,3,3,12,0.0,mean,event_density,none,0.9799,new_run
2,1236,0.15,3,3,12,0.3,mean,event_density,symmetric,0.9794,new_run
2,1236,0.15,3,3,12,0.3,mean,event_density,random,0.9776,new_run
2,1236,0.15,3,3,12,0.0,mean,random_boundary,none,0.973,new_run
2,1236,0.15,3,3,12,0.3,mean,random_boundary,symmetric,0.9728,new_run
2,1236,0.15,3,3,12,0.3,mean,random_boundary,random,0.9717,new_run
3,1237,0.15,3,3,12,0.0,mean,uniform,none,0.9797,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
3,1237,0.15,3,3,12,0.3,mean,uniform,symmetric,0.9798,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
3,1237,0.15,3,3,12,0.3,mean,uniform,random,0.9781,new_run
3,1237,0.15,3,3,12,0.0,mean,saccade,none,0.9801,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
3,1237,0.15,3,3,12,0.3,mean,saccade,symmetric,0.979,results\followup_tepre_20260622_4seed_summary_v2\raw_runs.csv
3,1237,0.15,3,3,12,0.3,mean,saccade,random,0.9785,new_run
3,1237,0.15,3,3,12,0.0,mean,event_density,none,0.9794,new_run
3,1237,0.15,3,3,12,0.3,mean,event_density,symmetric,0.9786,new_run
3,1237,0.15,3,3,12,0.3,mean,event_density,random,0.9786,new_run
3,1237,0.15,3,3,12,0.0,mean,random_boundary,none,0.9792,new_run
3,1237,0.15,3,3,12,0.3,mean,random_boundary,symmetric,0.9798,new_run
3,1237,0.15,3,3,12,0.3,mean,random_boundary,random,0.9791,new_run
