schedule_mode,overlap_fraction,overlap_mode,n,mean_accuracy,std_accuracy,mean_delta_vs_strict_same_schedule,std_delta_vs_strict_same_schedule,improved_reps
event_density,0.0,none,4,0.9793499999999999,0.00045092497528228896,0.0,0.0,0
event_density,0.3,random,4,0.978375,0.0005560275772537328,-0.0009749999999999759,0.0009032349269892838,0
event_density,0.3,symmetric,4,0.9798500000000001,0.0010630145812734505,0.0005000000000000282,0.00133416640641265,2
random_boundary,0.0,none,4,0.976475,0.0027072433704169708,0.0,0.0,0
random_boundary,0.3,random,4,0.9757499999999999,0.0032848135411313573,-0.0007249999999999757,0.0006130524719249799,0
random_boundary,0.3,symmetric,4,0.97725,0.003113947120081951,0.0007750000000000257,0.0007932002689527209,3
saccade,0.0,none,4,0.9804250000000001,0.0007274384280932024,0.0,0.0,0
saccade,0.3,random,4,0.9786,0.000496655480858368,-0.0018249999999999933,0.0003593976442141964,0
saccade,0.3,symmetric,4,0.980175,0.0008220908303425778,-0.0002500000000000002,0.0007505553499465319,2
uniform,0.0,none,4,0.980375,0.0008381527307120263,0.0,0.0,0
uniform,0.3,random,4,0.9788,0.0005354126134736645,-0.001574999999999993,0.00045000000000000395,0
uniform,0.3,symmetric,4,0.9810249999999999,0.0009464847243000313,0.0006499999999999839,0.0004434711565216786,4
