rep,seed,overlap_fraction,strict_score,overlap_score,delta,delta_percentage_points,improved
0,1234,0.1,0.9816,0.9812,-0.00040000000000006697,-0.0400000000000067,False
1,1235,0.1,0.9801,0.9799,-0.00019999999999997797,-0.019999999999997797,False
2,1236,0.1,0.9801,0.9797,-0.00039999999999995595,-0.039999999999995595,False
3,1237,0.1,0.9797,0.979,-0.0007000000000000339,-0.07000000000000339,False
0,1234,0.15,0.9816,0.9813,-0.000300000000000078,-0.030000000000007798,False
1,1235,0.15,0.9801,0.9803,0.00019999999999997797,0.019999999999997797,True
2,1236,0.15,0.9801,0.9801,0.0,0.0,False
3,1237,0.15,0.9797,0.9795,-0.00019999999999997797,-0.019999999999997797,False
0,1234,0.2,0.9816,0.981,-0.0006000000000000449,-0.060000000000004494,False
1,1235,0.2,0.9801,0.9801,0.0,0.0,False
2,1236,0.2,0.9801,0.9804,0.000300000000000078,0.030000000000007798,True
3,1237,0.2,0.9797,0.9794,-0.00029999999999996696,-0.029999999999996696,False
0,1234,0.3,0.9816,0.9821,0.0004999999999999449,0.04999999999999449,True
1,1235,0.3,0.9801,0.981,0.0009000000000000119,0.09000000000000119,True
2,1236,0.3,0.9801,0.9812,0.0010999999999999899,0.10999999999999899,True
3,1237,0.3,0.9797,0.9798,9.999999999998899e-05,0.009999999999998899,True
