rep,seed,in_conn,num_res,num_partitions,nz,overlap_fraction,overlap_combine,score
0,1234,0.15,3,3,12,0.0,mean,0.9816
0,1234,0.15,3,3,12,0.1,mean,0.9812
0,1234,0.15,3,3,12,0.15,mean,0.9813
0,1234,0.15,3,3,12,0.2,mean,0.981
0,1234,0.15,3,3,12,0.3,mean,0.9821
1,1235,0.15,3,3,12,0.0,mean,0.9801
1,1235,0.15,3,3,12,0.1,mean,0.9799
1,1235,0.15,3,3,12,0.15,mean,0.9803
1,1235,0.15,3,3,12,0.2,mean,0.9801
1,1235,0.15,3,3,12,0.3,mean,0.981
2,1236,0.15,3,3,12,0.0,mean,0.9801
2,1236,0.15,3,3,12,0.1,mean,0.9797
2,1236,0.15,3,3,12,0.15,mean,0.9801
2,1236,0.15,3,3,12,0.2,mean,0.9804
2,1236,0.15,3,3,12,0.3,mean,0.9812
3,1237,0.15,3,3,12,0.0,mean,0.9797
3,1237,0.15,3,3,12,0.1,mean,0.979
3,1237,0.15,3,3,12,0.15,mean,0.9795
3,1237,0.15,3,3,12,0.2,mean,0.9794
3,1237,0.15,3,3,12,0.3,mean,0.9798
