split,batch_idx,sample_idx,label,num_steps,schedule_mode,overlap_fraction,total_frame_activity,duplicated_boundary_activity,duplicated_boundary_activity_fraction,partition_1_activity,partition_1_activity_fraction,partition_2_activity,partition_2_activity_fraction,partition_3_activity,partition_3_activity_fraction
train,0,0,0,309,uniform,0.0,3876.0,0.0,0.0,1453.0,0.3748710010319917,1210.0,0.31217750257997934,1213.0,0.3129514963880289
train,0,1,0,309,uniform,0.0,4458.0,0.0,0.0,1687.0,0.3784208165096456,1432.0,0.3212202781516375,1339.0,0.3003589053387169
train,0,2,0,309,uniform,0.0,3993.0,0.0,0.0,1421.0,0.35587277736038064,987.0,0.24718256949661907,1585.0,0.39694465314300026
train,0,3,0,309,uniform,0.0,4103.0,0.0,0.0,1448.0,0.3529125030465513,1202.0,0.2929563733853278,1453.0,0.3541311235681209
train,0,4,0,309,uniform,0.0,5316.0,0.0,0.0,1925.0,0.36211437170805116,1721.0,0.32373965387509407,1670.0,0.31414597441685477
train,0,5,0,309,uniform,0.0,5159.0,0.0,0.0,1789.0,0.3467726303547199,1843.0,0.3572397751502229,1527.0,0.2959875944950572
train,0,6,0,309,uniform,0.0,5080.0,0.0,0.0,1932.0,0.38031496062992126,1644.0,0.3236220472440945,1504.0,0.29606299212598425
train,0,7,0,309,uniform,0.0,3343.0,0.0,0.0,1100.0,0.32904576727490276,1326.0,0.39664971582411007,917.0,0.2743045169009871
train,0,8,0,309,uniform,0.0,4490.0,0.0,0.0,1396.0,0.310913140311804,1445.0,0.321826280623608,1649.0,0.367260579064588
train,0,9,0,309,uniform,0.0,4084.0,0.0,0.0,1390.0,0.3403525954946131,1301.0,0.3185602350636631,1393.0,0.3410871694417238
train,0,10,0,309,uniform,0.0,4351.0,0.0,0.0,1586.0,0.3645139048494599,1169.0,0.2686738680763043,1596.0,0.36681222707423583
train,0,11,0,309,uniform,0.0,4627.0,0.0,0.0,1419.0,0.3066781932137454,1593.0,0.344283553058137,1615.0,0.3490382537281176
train,0,12,0,309,uniform,0.0,4332.0,0.0,0.0,1454.0,0.33564173591874424,1295.0,0.29893813481071096,1583.0,0.3654201292705448
train,0,13,0,309,uniform,0.0,4079.0,0.0,0.0,1460.0,0.3579308654081883,1583.0,0.3880853150281932,1036.0,0.25398381956361854
train,0,14,0,309,uniform,0.0,5168.0,0.0,0.0,2057.0,0.3980263157894737,1766.0,0.34171826625387,1345.0,0.26025541795665635
train,0,15,0,309,uniform,0.0,3172.0,0.0,0.0,1064.0,0.3354350567465322,1018.0,0.3209331651954603,1090.0,0.34363177805800754
train,0,16,0,309,uniform,0.0,4875.0,0.0,0.0,1914.0,0.3926153846153846,1504.0,0.30851282051282053,1457.0,0.2988717948717949
train,0,17,0,309,uniform,0.0,5715.0,0.0,0.0,2074.0,0.36290463692038494,1925.0,0.336832895888014,1716.0,0.30026246719160105
train,0,18,0,309,uniform,0.0,3866.0,0.0,0.0,1581.0,0.408949818934299,1239.0,0.32048629073978274,1046.0,0.27056389032591827
train,0,19,0,309,uniform,0.0,4083.0,0.0,0.0,1357.0,0.3323536615233897,1244.0,0.304677932892481,1482.0,0.3629684055841293
train,0,20,0,309,uniform,0.0,4193.0,0.0,0.0,1259.0,0.30026234199856905,1410.0,0.33627474362031956,1524.0,0.3634629143811114
train,0,21,0,309,uniform,0.0,4973.0,0.0,0.0,1741.0,0.3500904886386487,1820.0,0.3659762718680877,1412.0,0.2839332394932636
train,0,22,0,309,uniform,0.0,5268.0,0.0,0.0,1866.0,0.3542141230068337,1894.0,0.3595292331055429,1508.0,0.2862566438876234
train,0,23,0,309,uniform,0.0,1661.0,0.0,0.0,567.0,0.34136062612883805,565.0,0.34015653220951236,529.0,0.3184828416616496
train,0,24,0,309,uniform,0.0,3564.0,0.0,0.0,1016.0,0.2850729517396184,1149.0,0.3223905723905724,1399.0,0.3925364758698092
train,0,25,0,309,uniform,0.0,5316.0,0.0,0.0,1804.0,0.33935289691497367,1981.0,0.37264860797592175,1531.0,0.2879984951091046
train,0,26,0,309,uniform,0.0,1769.0,0.0,0.0,520.0,0.29395138496325607,507.0,0.2866026003391747,742.0,0.41944601469756926
train,0,27,0,309,uniform,0.0,3648.0,0.0,0.0,1172.0,0.32127192982456143,1218.0,0.3338815789473684,1258.0,0.34484649122807015
